Artist,Song
Jonas Blue;Dakota,Fast Car
Kevin Gates,Really Really
Kevin Gates,2 Phones
Kevin Gates,I Don't Get Tired (#IDGT) [feat. August Alsina]
Mike Posner,I Took A Pill In Ibiza - Seeb Remix
Lukas Graham,Mama Said
Desiigner,Panda
Fifth Harmony;Ty Dolla $ign,Work from Home
Timeflies;Katie Sky,Monsters
Zara Larsson,Lush Life
Jason Derulo,If It Ain't Love
The Chainsmokers;Daya,Don't Let Me Down
Troye Sivan,YOUTH
X Ambassadors,Unsteady
Twenty One Pilots,Fall Away
Fall Out Boy,Uma Thurman
Alessia Cara,Wild Things
Ruth B.,Lost Boy
X Ambassadors,Renegades
Twenty One Pilots,Tear In My Heart
Daya,Hide Away
Alessia Cara,Here
DNCE,Cake By The Ocean
Halsey,New Americana
Charlie Puth,One Call Away
Cheat Codes;Kris Kross Amsterdam,Sex
Elle King,Ex's & Oh's
Kent Jones,Don't Mind
My Chemical Romance,Welcome to the Black Parade
Twenty One Pilots,Guns For Hands
Sia,Cheap Thrills
Meg & Dia,Monster (DotEXE Remix)
G-Eazy;Remo,I Mean It
Nightcore,Monster (DotEXE Remix)
Shawn Mendes,Treat You Better
Nightcore,God Is A Girl
Taylor Swift;The Civil Wars,Safe & Sound - from The Hunger Games Soundtrack
SK8;Massey,Verse (feat. Massey)
OneRepublic,Kids
Cheat Codes;Dante Klein,Let Me Hold You (Turn Me On)
D for Designer,Timmy Turner
Kiiara,Gold
DJ Snake;Bipolar Sunshine,Middle
Jonas Blue;JP Cooper,Perfect Strangers
Adele,When We Were Young
OneRepublic,Wherever I Go
James Bay,Let It Go
Flume;kai,Never Be Like You (feat. Kai)
G-Eazy,Calm Down
Marshmello,Alone
Daya,"Sit Still, Look Pretty"
Galantis,No Money
Hailee Steinfeld;Grey;Zedd,Starving
Adele,Send My Love (To Your New Lover)
Sia;Kendrick Lamar,The Greatest
DJ Snake;Justin Bieber,Let Me Love You
The Chainsmokers;Halsey,Closer
Calvin Harris;Rihanna,This Is What You Came For
OneRepublic,Love Runs Out
Nause;Pretty Sister,Dynamite (feat. Pretty Sister)
Panic! At The Disco,Nine In The Afternoon
Jidenna;Roman GianArthur,Classic Man
Lil Dicky;Fetty Wap;Rich Homie Quan,$ave Dat Money (feat. Fetty Wap & Rich Homie Quan)
The Weeknd,Real Life
Timeflies,Swoon
Timeflies,Gravity
Coldplay;Seeb,Hymn For The Weekend - Seeb Remix
James Arthur,Say You Won't Let Go
Sia,The Greatest
RJD2,Ghostwriter
Hey Violet,Guys My Age
Charli XCX;Lil Yachty,After The Afterparty (feat. Lil Yachty)
Jessie J,Masterpiece
Hillsong United,Oceans (Where Feet May Fail)
Migos;Lil Uzi Vert,Bad and Boujee (feat. Lil Uzi Vert)
SJUR;Chris Crone,Let Me Love You
KYLE;Lil Yachty,iSpy
Flo Rida;99 Percent,Cake
Isaiah,It's Gotta Be You
Ed Sheeran,Castle on the Hill
Nevada;Mark Morrison;Fetty Wap,The Mack
mansionz;Spark Master Tape,STFU
TRXD;Emilie Adams,Our City
Sia,Move Your Body - Single Mix
John Legend,Love Me Now
Kiiara,Feels
Machine Gun Kelly;Camila Cabello,Bad Things - With Camila Cabello
ZAYN;Taylor Swift,"I Don't Wanna Live Forever (Fifty Shades Darker) - From ""Fifty Shades Darker (Original Motion Picture Soundtrack)"""
Bag Raiders,Shooting Stars
James Bay,Hold Back The River
