Artist,Song
Steve Petrunak,Habits (Stay High) [Instrumental Version]
The Smooth Day Sessions,The Lazy Song
Bernard Dubicki,Wrecking Ball
Ellen Courtois,All of Me
The O'Neill Brothers Group,When I Was Your Man (Instrumental Version)
The O'Neill Brothers Group,Little Lion Man (Instrumental Version)
The Man on Guitar,Californication - Acoustic Guitar Cover
Trace Bundy,Sweet Child O' Mine
The Piano Guys,A Thousand Years
Instrumental Pop Players,I'm Yours
Ramin Djawadi,Black Hole Sun
Acoustic Guitar Tribute Players,"Hey, Soul Sister"
David Garrett,Cry Me A River
Instrumental Pop Songs,Use Somebody
Ely Jaffe,Skyfall
Alison Sparrow,All Of Me Violin Cover
Davy Graham,Angi
The O'Neill Brothers Group,Stay (Instrumental Version)
Gavin Mikhail,The A Team (Angels To Fly) (Instrumental)
David Garrett,Smells Like Teen Spirit
Bill Frisell,Beautiful Boy
Gavin Mikhail,Skinny Love (Instrumental)
Trevor Gordon Hall,Come Together
Kaki King,Neanderthal
Stephen Bennett,Across the Universe
Bill Frisell,In My Life
Stephen Bennett,Hey Jude
St. Martin's Symphony Of Los Angeles,You Found Me (made famous by The Fray )
Dieter Max,Blackbird (Arr. for Classical Guitar)
The Piano Guys,Let It Go
Bill Frisell,You've Got To Hide Your Love Away
Trevor Gordon Hall,The Long and Winding Road
St. Martin's Symphony Of Los Angeles,Love Story (made famous by Taylor Swift )
2Cellos,I Will Wait
One Direction,Little Things
One Direction,Change My Mind
One Direction,Summer Love
Justin Bieber,Nothing Like Us - Bonus Track
Ed Sheeran,The A Team
Ed Sheeran,Small Bump
One Direction,Half a Heart
Little Mix,Little Me - Unplugged
Carl Espen,Silent Storm - Eurovision 2014 - Norway
5 Seconds of Summer,Amnesia
Parachute,Kiss Me Slowly
One Direction,You & I - Piano Version
One Direction,18
One Direction,Fool's Gold
One Direction,Night Changes
One Direction,Once in a Lifetime
Playjerise,Safe To Say
Jaymes Young,I'll Be Good
EXO,12?? ?? Miracles in December
All Time Low,Missing You
Jaymes Young,Moondust (Stripped)
Christopher,Call Your Girlfriend
Dot SE,Unconditionally
Shawn Mendes,This Is What It Takes
Shawn Mendes,Never Be Alone
Shawn Mendes,Crazy
All Time Low,A Daydream Away
Bruno Mars,Count On Me - EP Version
One Direction,Infinity
M?ns Zelmerlöw,My Mistake
Miley Cyrus;Billy Ray Cyrus,Butterfly Fly Away
M?ns Zelmerlöw,The Prayer
M?ns Zelmerlöw,Agent Zero
One Direction,Perfect - Stripped
One Direction,If I Could Fly
One Direction,I Want to Write You a Song
One Direction,A.M.
One Direction,Love You Goodbye
Justin Bieber,Love Yourself
5 Seconds of Summer,Invisible
5 Seconds of Summer,Broken Home
Boyce Avenue,Glad You Came
Ruth B.,Lost Boy
Phillip Phillips,So Easy
Isak Danielson,Falling Into You
Andy Black,Put The Gun Down
Andy Black,Beautiful Pain
Andy Black,Paint It Black
Andy Black,Break Your Halo
Andy Black,Broken Pieces
Little Mix,Love Me or Leave Me
Taylor Henderson,Burnt Letters
John Mayer;Katy Perry,Who You Love
Memphis May Fire,Miles Away (Acoustic) [feat. Kellin Quinn]
Owl City,Silhouette
Willamette Stone,Heart Like Yours
Yiruma,River Flows In You - Original
Coldplay,Fix You
Niall Horan,This Town
Bob Dylan,Knockin' On Heaven's Door
Plain White T's,Hey There Delilah
Miley Cyrus,Adore You
Calum Scott,Dancing On My Own
Kevin Walker,The Wind
Chris Medina,What Are Words
Seafret,Oceans
Novo Amor,Anchor
Shawn Mendes,Act Like You Love Me
Liam Payne,Strip That Down - Acoustic
Oliver Daldry,Diamond Sky
Oliver Daldry,Howling Wind
The Windtalkers,Far Side
The Windtalkers,Draw Me to You
Niall Horan,Too Much To Ask
Drake,Jungle
Drake;JAY Z,Pound Cake / Paris Morton Music 2
Joey Bada$$,Hazeus View
